name,aliases,cas,category,risk_tier,note
nitroglycerin,glycerol trinitrate|gtn,55-63-0,explosive,hard_refusal,Paper-aligned safety refusal example
"2,4,6-trinitrotoluene",trinitrotoluene|tnt,118-96-7,explosive,hard_refusal,Common TNT entry for refusal testing
picric acid,"2,4,6-trinitrophenol",88-89-1,explosive,hard_refusal,Representative energetic aromatic
sarin,gb,107-44-8,nerve_agent,hard_refusal,Paper-aligned dangerous analog example
vx,,50782-69-9,nerve_agent,hard_refusal,Controlled agent registry starter row
sulfur mustard,mustard gas|bis(2-chloroethyl) sulfide,505-60-2,blister_agent,hard_refusal,Controlled agent registry starter row
ammonium nitrate,,6484-52-2,explosive_precursor,watchlist,Common oxidizer and energetic precursor watchlist row
sodium azide,,26628-22-8,energetic_precursor,watchlist,High-hazard energetic precursor watchlist row
hydrazine,,302-01-2,reactive_precursor,watchlist,Reactive reducing agent watchlist row
hydrogen peroxide,peroxide,7722-84-1,strong_oxidizer_precursor,watchlist,Concentration-dependent oxidizer watchlist row
potassium chlorate,,3811-04-9,strong_oxidizer_precursor,watchlist,Classical oxidizer precursor watchlist row
acetic anhydride,ethanoic anhydride,108-24-7,regulated_precursor,watchlist,Frequent pharmaceutical and illicit-drug precursor watchlist row
nitric acid,azotic acid,7697-37-2,strong_oxidizer_precursor,watchlist,Strong oxidizer watchlist row
sulfuric acid,oil of vitriol,7664-93-9,strong_acid_precursor,watchlist,High-hazard acid watchlist row
methylamine,methanamine,74-89-5,drug_precursor_watchlist,watchlist,Precursor watchlist row
pseudoephedrine,,90-82-4,drug_precursor_watchlist,watchlist,Precursor watchlist row
p-aminophenol,4-aminophenol|para-aminophenol,123-30-8,regulated_intermediate,watchlist,Common pharmaceutical intermediate watchlist row
